DriverNumber,Abbreviation,DriverId,TeamId,Position,EventName,Round,Season
18,STR,stroll,racing_point,12.0,Mexican Grand Prix,18,2019
55,SAI,sainz,mclaren,13.0,Mexican Grand Prix,18,2019
99,GIO,giovinazzi,alfa,14.0,Mexican Grand Prix,18,2019
20,MAG,kevin_magnussen,haas,15.0,Mexican Grand Prix,18,2019
63,RUS,russell,williams,16.0,Mexican Grand Prix,18,2019
8,GRO,grosjean,haas,17.0,Mexican Grand Prix,18,2019
88,KUB,kubica,williams,18.0,Mexican Grand Prix,18,2019
7,RAI,raikkonen,alfa,19.0,Mexican Grand Prix,18,2019
4,NOR,norris,mclaren,20.0,Mexican Grand Prix,18,2019
77,BOT,bottas,mercedes,1.0,United States Grand Prix,19,2019
44,HAM,hamilton,mercedes,2.0,United States Grand Prix,19,2019
33,VER,max_verstappen,red_bull,3.0,United States Grand Prix,19,2019
16,LEC,leclerc,ferrari,4.0,United States Grand Prix,19,2019
23,ALB,albon,red_bull,5.0,United States Grand Prix,19,2019
3,RIC,ricciardo,renault,6.0,United States Grand Prix,19,2019
4,NOR,norris,mclaren,7.0,United States Grand Prix,19,2019
55,SAI,sainz,mclaren,8.0,United States Grand Prix,19,2019
27,HUL,hulkenberg,renault,9.0,United States Grand Prix,19,2019
11,PER,perez,racing_point,10.0,United States Grand Prix,19,2019
7,RAI,raikkonen,alfa,11.0,United States Grand Prix,19,2019
26,KVY,kvyat,toro_rosso,12.0,United States Grand Prix,19,2019
18,STR,stroll,racing_point,13.0,United States Grand Prix,19,2019
99,GIO,giovinazzi,alfa,14.0,United States Grand Prix,19,2019
8,GRO,grosjean,haas,15.0,United States Grand Prix,19,2019
10,GAS,gasly,toro_rosso,16.0,United States Grand Prix,19,2019
63,RUS,russell,williams,17.0,United States Grand Prix,19,2019
20,MAG,kevin_magnussen,haas,18.0,United States Grand Prix,19,2019
88,KUB,kubica,williams,19.0,United States Grand Prix,19,2019
5,VET,vettel,ferrari,20.0,United States Grand Prix,19,2019
33,VER,max_verstappen,red_bull,1.0,Brazilian Grand Prix,20,2019
10,GAS,gasly,toro_rosso,2.0,Brazilian Grand Prix,20,2019
55,SAI,sainz,mclaren,3.0,Brazilian Grand Prix,20,2019
7,RAI,raikkonen,alfa,4.0,Brazilian Grand Prix,20,2019
99,GIO,giovinazzi,alfa,5.0,Brazilian Grand Prix,20,2019
3,RIC,ricciardo,renault,6.0,Brazilian Grand Prix,20,2019
44,HAM,hamilton,mercedes,7.0,Brazilian Grand Prix,20,2019
4,NOR,norris,mclaren,8.0,Brazilian Grand Prix,20,2019
11,PER,perez,racing_point,9.0,Brazilian Grand Prix,20,2019
26,KVY,kvyat,toro_rosso,10.0,Brazilian Grand Prix,20,2019
20,MAG,kevin_magnussen,haas,11.0,Brazilian Grand Prix,20,2019
63,RUS,russell,williams,12.0,Brazilian Grand Prix,20,2019
8,GRO,grosjean,haas,13.0,Brazilian Grand Prix,20,2019
23,ALB,albon,red_bull,14.0,Brazilian Grand Prix,20,2019
27,HUL,hulkenberg,renault,15.0,Brazilian Grand Prix,20,2019
88,KUB,kubica,williams,16.0,Brazilian Grand Prix,20,2019
5,VET,vettel,ferrari,17.0,Brazilian Grand Prix,20,2019
